max_df,min_df,filts,vectorizer,model,score
0.01,1,tok,CountVectorizer,MultinomialNB,0.8542513699840905
0.01,1,tok,CountVectorizer,BernoulliNB,0.5821990454304402
0.01,1,tok,TfidfVectorizer,MultinomialNB,0.9139119674739261
0.01,1,tok,TfidfVectorizer,BernoulliNB,0.5821990454304402
0.01,2,tok,CountVectorizer,MultinomialNB,0.8397560544458194
0.01,2,tok,CountVectorizer,BernoulliNB,0.6185257203464734
0.01,2,tok,TfidfVectorizer,MultinomialNB,0.9040127275941312
0.01,2,tok,TfidfVectorizer,BernoulliNB,0.6185257203464734
0.01,5,tok,CountVectorizer,MultinomialNB,0.809086088032526
0.01,5,tok,CountVectorizer,BernoulliNB,0.6401803075835248
0.01,5,tok,TfidfVectorizer,MultinomialNB,0.8837723174827647
0.01,5,tok,TfidfVectorizer,BernoulliNB,0.6401803075835248
0.01,10,tok,CountVectorizer,MultinomialNB,0.7768251723528372
0.01,10,tok,CountVectorizer,BernoulliNB,0.6506098638854516
0.01,10,tok,TfidfVectorizer,MultinomialNB,0.856107477461552
0.01,10,tok,TfidfVectorizer,BernoulliNB,0.6506098638854516
0.025,1,tok,CountVectorizer,MultinomialNB,0.8398444405161747
0.025,1,tok,CountVectorizer,BernoulliNB,0.599434329149726
0.025,1,tok,TfidfVectorizer,MultinomialNB,0.8984444051617465
0.025,1,tok,TfidfVectorizer,BernoulliNB,0.599434329149726
0.025,2,tok,CountVectorizer,MultinomialNB,0.8349832066466325
0.025,2,tok,CountVectorizer,BernoulliNB,0.6420364150609864
0.025,2,tok,TfidfVectorizer,MultinomialNB,0.8917270638147428
0.025,2,tok,TfidfVectorizer,BernoulliNB,0.6420364150609864
0.025,5,tok,CountVectorizer,MultinomialNB,0.8132402333392258
0.025,5,tok,CountVectorizer,BernoulliNB,0.6652819515644335
0.025,5,tok,TfidfVectorizer,MultinomialNB,0.8749337104472336
0.025,5,tok,TfidfVectorizer,BernoulliNB,0.6652819515644335
0.025,10,tok,CountVectorizer,MultinomialNB,0.7879618172176065
0.025,10,tok,CountVectorizer,BernoulliNB,0.6756231217960049
0.025,10,tok,TfidfVectorizer,MultinomialNB,0.856372635672618
0.025,10,tok,TfidfVectorizer,BernoulliNB,0.6756231217960049
0.04,1,tok,CountVectorizer,MultinomialNB,0.8319780802545519
0.04,1,tok,CountVectorizer,BernoulliNB,0.6034117023157151
0.04,1,tok,TfidfVectorizer,MultinomialNB,0.8882800070708856
0.04,1,tok,TfidfVectorizer,BernoulliNB,0.6034117023157151
0.04,2,tok,CountVectorizer,MultinomialNB,0.8303871309881563
0.04,2,tok,CountVectorizer,BernoulliNB,0.6445996111012904
0.04,2,tok,TfidfVectorizer,MultinomialNB,0.8823581403570797
0.04,2,tok,TfidfVectorizer,BernoulliNB,0.6445996111012904
0.04,5,tok,CountVectorizer,MultinomialNB,0.8112957397914089
0.04,5,tok,CountVectorizer,BernoulliNB,0.667138059041895
0.04,5,tok,TfidfVectorizer,MultinomialNB,0.8693653880148489
0.04,5,tok,TfidfVectorizer,BernoulliNB,0.667138059041895
0.04,10,tok,CountVectorizer,MultinomialNB,0.7876082729361853
0.04,10,tok,CountVectorizer,BernoulliNB,0.6789817924695069
0.04,10,tok,TfidfVectorizer,MultinomialNB,0.8517765600141418
0.04,10,tok,TfidfVectorizer,BernoulliNB,0.6789817924695069
0.05,1,tok,CountVectorizer,MultinomialNB,0.8280890931589181
0.05,1,tok,CountVectorizer,BernoulliNB,0.6028813858935832
0.05,1,tok,TfidfVectorizer,MultinomialNB,0.8845677921159625
0.05,1,tok,TfidfVectorizer,BernoulliNB,0.6028813858935832
0.05,2,tok,CountVectorizer,MultinomialNB,0.8285310235106947
0.05,2,tok,CountVectorizer,BernoulliNB,0.6438041364680926
0.05,2,tok,TfidfVectorizer,MultinomialNB,0.8796181721760651
0.05,2,tok,TfidfVectorizer,BernoulliNB,0.6438041364680926
0.05,5,tok,CountVectorizer,MultinomialNB,0.8101467208767898
0.05,5,tok,CountVectorizer,BernoulliNB,0.6659890401272759
0.05,5,tok,TfidfVectorizer,MultinomialNB,0.8656531730599257
0.05,5,tok,TfidfVectorizer,BernoulliNB,0.6659890401272759
0.05,10,tok,CountVectorizer,MultinomialNB,0.7864592540215662
0.05,10,tok,CountVectorizer,BernoulliNB,0.6783630899770197
0.05,10,tok,TfidfVectorizer,MultinomialNB,0.8485062754109952
0.05,10,tok,TfidfVectorizer,BernoulliNB,0.6783630899770197
0.1,1,tok,CountVectorizer,MultinomialNB,0.8158918154498851
0.1,1,tok,CountVectorizer,BernoulliNB,0.6045607212303341
0.1,1,tok,TfidfVectorizer,MultinomialNB,0.8715750397737316
0.1,1,tok,TfidfVectorizer,BernoulliNB,0.6045607212303341
0.1,2,tok,CountVectorizer,MultinomialNB,0.8211949796712038
0.1,2,tok,CountVectorizer,BernoulliNB,0.6415944847092099
0.1,2,tok,TfidfVectorizer,MultinomialNB,0.8692770019444935
0.1,2,tok,TfidfVectorizer,BernoulliNB,0.6415944847092099
0.1,5,tok,CountVectorizer,MultinomialNB,0.8044900123740498
