max_df,min_df,filts,vectorizer,model,score
0.5,113,tok lem stop stem,CountVectorizer,MultinomialNB,0.8529255789287609
0.5,113,tok lem stop stem,CountVectorizer,BernoulliNB,0.7590595722114195
0.5,113,tok lem stop stem,TfidfVectorizer,MultinomialNB,0.8709563372812444
0.5,113,tok lem stop stem,TfidfVectorizer,BernoulliNB,0.7590595722114195
0.5,113,tok lem stop stem filt,CountVectorizer,MultinomialNB,0.8432914972600318
0.5,113,tok lem stop stem filt,CountVectorizer,BernoulliNB,0.7251193211949797
0.5,113,tok lem stop stem filt,TfidfVectorizer,MultinomialNB,0.8569913381651052
0.5,113,tok lem stop stem filt,TfidfVectorizer,BernoulliNB,0.7251193211949797
0.5,566,tok,CountVectorizer,MultinomialNB,0.5117553473572565
0.5,566,tok,CountVectorizer,BernoulliNB,0.4123210182075305
0.5,566,tok,TfidfVectorizer,MultinomialNB,0.5694714512992752
0.5,566,tok,TfidfVectorizer,BernoulliNB,0.4123210182075305
0.5,566,tok lem stem,CountVectorizer,MultinomialNB,0.5932473042248542
0.5,566,tok lem stem,CountVectorizer,BernoulliNB,0.47215838783807673
0.5,566,tok lem stem,TfidfVectorizer,MultinomialNB,0.6430970479052501
0.5,566,tok lem stem,TfidfVectorizer,BernoulliNB,0.47215838783807673
0.5,566,tok stop,CountVectorizer,MultinomialNB,0.5083082906133993
0.5,566,tok stop,CountVectorizer,BernoulliNB,0.4371575039773732
0.5,566,tok stop,TfidfVectorizer,MultinomialNB,0.5548877496906488
0.5,566,tok stop,TfidfVectorizer,BernoulliNB,0.4371575039773732
0.5,566,tok lem stop stem,CountVectorizer,MultinomialNB,0.5936892345766307
0.5,566,tok lem stop stem,CountVectorizer,BernoulliNB,0.5009722467739084
0.5,566,tok lem stop stem,TfidfVectorizer,MultinomialNB,0.6377938836839314
0.5,566,tok lem stop stem,TfidfVectorizer,BernoulliNB,0.5009722467739084
0.5,566,tok lem stop stem filt,CountVectorizer,MultinomialNB,0.5745978433798833
0.5,566,tok lem stop stem filt,CountVectorizer,BernoulliNB,0.4683577868127983
0.5,566,tok lem stop stem filt,TfidfVectorizer,MultinomialNB,0.6115432207884037
0.5,566,tok lem stop stem filt,TfidfVectorizer,BernoulliNB,0.4683577868127983
0.75,1,tok,CountVectorizer,MultinomialNB,0.930882092982146
0.75,1,tok,CountVectorizer,BernoulliNB,0.784426374403394
0.75,1,tok,TfidfVectorizer,MultinomialNB,0.9390136114548348
0.75,1,tok,TfidfVectorizer,BernoulliNB,0.784426374403394
0.75,1,tok lem stem,CountVectorizer,MultinomialNB,0.922662188439102
0.75,1,tok lem stem,CountVectorizer,BernoulliNB,0.7899946968357787
0.75,1,tok lem stem,TfidfVectorizer,MultinomialNB,0.9333569029520947
0.75,1,tok lem stem,TfidfVectorizer,BernoulliNB,0.7899946968357787
0.75,1,tok stop,CountVectorizer,MultinomialNB,0.9441400035354428
0.75,1,tok stop,CountVectorizer,BernoulliNB,0.8030758352483649
0.75,1,tok stop,TfidfVectorizer,MultinomialNB,0.9543044016263037
0.75,1,tok stop,TfidfVectorizer,BernoulliNB,0.8030758352483649
0.75,1,tok lem stop stem,CountVectorizer,MultinomialNB,0.9336220611631607
0.75,1,tok lem stop stem,CountVectorizer,BernoulliNB,0.8044016263036945
0.75,1,tok lem stop stem,TfidfVectorizer,MultinomialNB,0.9454657945907725
0.75,1,tok lem stop stem,TfidfVectorizer,BernoulliNB,0.8044016263036945
0.75,1,tok lem stop stem filt,CountVectorizer,MultinomialNB,0.9556301926816334
0.75,1,tok lem stop stem filt,CountVectorizer,BernoulliNB,0.8256142831889695
0.75,1,tok lem stop stem filt,TfidfVectorizer,MultinomialNB,0.9368923457663072
0.75,1,tok lem stop stem filt,TfidfVectorizer,BernoulliNB,0.8256142831889695
0.75,11,tok,CountVectorizer,MultinomialNB,0.9050733604383949
0.75,11,tok,CountVectorizer,BernoulliNB,0.8363973837723175
0.75,11,tok,TfidfVectorizer,MultinomialNB,0.9286724412232632
0.75,11,tok,TfidfVectorizer,BernoulliNB,0.8363973837723175
0.75,11,tok lem stem,CountVectorizer,MultinomialNB,0.9001237404984974
0.75,11,tok lem stem,CountVectorizer,BernoulliNB,0.8338341877320135
0.75,11,tok lem stem,TfidfVectorizer,MultinomialNB,0.922927346650168
0.75,11,tok lem stem,TfidfVectorizer,BernoulliNB,0.8338341877320135
0.75,11,tok stop,CountVectorizer,MultinomialNB,0.9094926639561605
0.75,11,tok stop,CountVectorizer,BernoulliNB,0.8548700724765776
0.75,11,tok stop,TfidfVectorizer,MultinomialNB,0.9360968711331095
0.75,11,tok stop,TfidfVectorizer,BernoulliNB,0.8548700724765776
0.75,11,tok lem stop stem,CountVectorizer,MultinomialNB,0.9041011136644864
0.75,11,tok lem stop stem,CountVectorizer,BernoulliNB,0.8519533321548524
0.75,11,tok lem stop stem,TfidfVectorizer,MultinomialNB,0.9303517765600141
0.75,11,tok lem stop stem,TfidfVectorizer,BernoulliNB,0.8519533321548524
0.75,11,tok lem stop stem filt,CountVectorizer,MultinomialNB,0.927169878027223
0.75,11,tok lem stop stem filt,CountVectorizer,BernoulliNB,0.8280890931589181
0.75,11,tok lem stop stem filt,TfidfVectorizer,MultinomialNB,0.9222202580873254
0.75,11,tok lem stop stem filt,TfidfVectorizer,BernoulliNB,0.8280890931589181
0.75,57,tok,CountVectorizer,MultinomialNB,0.8859819692416475
0.75,57,tok,CountVectorizer,BernoulliNB,0.7761180837899947
0.75,57,tok,TfidfVectorizer,MultinomialNB,0.8904896588297684
0.75,57,tok,TfidfVectorizer,BernoulliNB,0.7761180837899947
0.75,57,tok lem stem,CountVectorizer,MultinomialNB,0.8528371928584055
0.75,57,tok lem stem,CountVectorizer,BernoulliNB,0.777620646986035
0.75,57,tok lem stem,TfidfVectorizer,MultinomialNB,0.8908432031111897
0.75,57,tok lem stem,TfidfVectorizer,BernoulliNB,0.777620646986035
0.75,57,tok stop,CountVectorizer,MultinomialNB,0.8927876966590066
0.75,57,tok stop,CountVectorizer,BernoulliNB,0.8102351069471452
0.75,57,tok stop,TfidfVectorizer,MultinomialNB,0.8970302280360615
0.75,57,tok stop,TfidfVectorizer,BernoulliNB,0.8102351069471452
0.75,57,tok lem stop stem,CountVectorizer,MultinomialNB,0.8568145660243945
0.75,57,tok lem stop stem,CountVectorizer,BernoulliNB,0.8066112780625774
0.75,57,tok lem stop stem,TfidfVectorizer,MultinomialNB,0.8953508926993106
0.75,57,tok lem stop stem,TfidfVectorizer,BernoulliNB,0.8066112780625774
0.75,57,tok lem stop stem filt,CountVectorizer,MultinomialNB,0.8805020328796181
0.75,57,tok lem stop stem filt,CountVectorizer,BernoulliNB,0.7707265334983207
0.75,57,tok lem stop stem filt,TfidfVectorizer,MultinomialNB,0.8865122856637794
0.75,57,tok lem stop stem filt,TfidfVectorizer,BernoulliNB,0.7707265334983207
0.75,113,tok,CountVectorizer,MultinomialNB,0.8340109598727241
0.75,113,tok,CountVectorizer,BernoulliNB,0.7180484355665547
0.75,113,tok,TfidfVectorizer,MultinomialNB,0.8616757998939367
0.75,113,tok,TfidfVectorizer,BernoulliNB,0.7180484355665547
0.75,113,tok lem stem,CountVectorizer,MultinomialNB,0.8431147251193212
0.75,113,tok lem stem,CountVectorizer,BernoulliNB,0.7257380236874669
0.75,113,tok lem stem,TfidfVectorizer,MultinomialNB,0.8665370337634789
0.75,113,tok lem stem,TfidfVectorizer,BernoulliNB,0.7257380236874669
0.75,113,tok stop,CountVectorizer,MultinomialNB,0.8432031111896765
0.75,113,tok stop,CountVectorizer,BernoulliNB,0.758352483648577
0.75,113,tok stop,TfidfVectorizer,MultinomialNB,0.8665370337634789
0.75,113,tok stop,TfidfVectorizer,BernoulliNB,0.758352483648577
0.75,113,tok lem stop stem,CountVectorizer,MultinomialNB,0.8501856107477461
0.75,113,tok lem stop stem,CountVectorizer,BernoulliNB,0.7585292557892876
0.75,113,tok lem stop stem,TfidfVectorizer,MultinomialNB,0.8713982676330211
0.75,113,tok lem stop stem,TfidfVectorizer,BernoulliNB,0.7585292557892876
0.75,113,tok lem stop stem filt,CountVectorizer,MultinomialNB,0.8415237758529256
0.75,113,tok lem stop stem filt,CountVectorizer,BernoulliNB,0.7242354604914265
0.75,113,tok lem stop stem filt,TfidfVectorizer,MultinomialNB,0.8562842496022627
0.75,113,tok lem stop stem filt,TfidfVectorizer,BernoulliNB,0.7242354604914265
0.75,566,tok,CountVectorizer,MultinomialNB,0.5111366448647693
0.75,566,tok,CountVectorizer,BernoulliNB,0.40825525897118614
0.75,566,tok,TfidfVectorizer,MultinomialNB,0.5721230334099346
0.75,566,tok,TfidfVectorizer,BernoulliNB,0.40825525897118614
0.75,566,tok lem stem,CountVectorizer,MultinomialNB,0.5875905957221141
0.75,566,tok lem stem,CountVectorizer,BernoulliNB,0.46853455895350893
0.75,566,tok lem stem,TfidfVectorizer,MultinomialNB,0.6422131872016971
0.75,566,tok lem stem,TfidfVectorizer,BernoulliNB,0.46853455895350893
0.75,566,tok stop,CountVectorizer,MultinomialNB,0.505126392080608
0.75,566,tok stop,CountVectorizer,BernoulliNB,0.4329149726003182
0.75,566,tok stop,TfidfVectorizer,MultinomialNB,0.5553296800424253
0.75,566,tok stop,TfidfVectorizer,BernoulliNB,0.4329149726003182
0.75,566,tok lem stop stem,CountVectorizer,MultinomialNB,0.5890047728477992
0.75,566,tok lem stop stem,CountVectorizer,BernoulliNB,0.4968181014672088
0.75,566,tok lem stop stem,TfidfVectorizer,MultinomialNB,0.6376171115432208
0.75,566,tok lem stop stem,TfidfVectorizer,BernoulliNB,0.4968181014672088
0.75,566,tok lem stop stem filt,CountVectorizer,MultinomialNB,0.5763655647869895
0.75,566,tok lem stop stem filt,CountVectorizer,BernoulliNB,0.46579459077249424
0.75,566,tok lem stop stem filt,TfidfVectorizer,MultinomialNB,0.611896765069825
0.75,566,tok lem stop stem filt,TfidfVectorizer,BernoulliNB,0.46579459077249424
0.8,1,tok,CountVectorizer,MultinomialNB,0.9304401626303694
0.8,1,tok,CountVectorizer,BernoulliNB,0.7838960579812622
0.8,1,tok,TfidfVectorizer,MultinomialNB,0.9384832950327029
0.8,1,tok,TfidfVectorizer,BernoulliNB,0.7838960579812622
0.8,1,tok lem stem,CountVectorizer,MultinomialNB,0.922662188439102
0.8,1,tok lem stem,CountVectorizer,BernoulliNB,0.7899946968357787
0.8,1,tok lem stem,TfidfVectorizer,MultinomialNB,0.9333569029520947
0.8,1,tok lem stem,TfidfVectorizer,BernoulliNB,0.7899946968357787
0.8,1,tok stop,CountVectorizer,MultinomialNB,0.9441400035354428
0.8,1,tok stop,CountVectorizer,BernoulliNB,0.8030758352483649
0.8,1,tok stop,TfidfVectorizer,MultinomialNB,0.9543044016263037
0.8,1,tok stop,TfidfVectorizer,BernoulliNB,0.8030758352483649
0.8,1,tok lem stop stem,CountVectorizer,MultinomialNB,0.9336220611631607
0.8,1,tok lem stop stem,CountVectorizer,BernoulliNB,0.8044016263036945
0.8,1,tok lem stop stem,TfidfVectorizer,MultinomialNB,0.9454657945907725
0.8,1,tok lem stop stem,TfidfVectorizer,BernoulliNB,0.8044016263036945
0.8,1,tok lem stop stem filt,CountVectorizer,MultinomialNB,0.9556301926816334
0.8,1,tok lem stop stem filt,CountVectorizer,BernoulliNB,0.8256142831889695
0.8,1,tok lem stop stem filt,TfidfVectorizer,MultinomialNB,0.9368923457663072
0.8,1,tok lem stop stem filt,TfidfVectorizer,BernoulliNB,0.8256142831889695
0.8,11,tok,CountVectorizer,MultinomialNB,0.9050733604383949
0.8,11,tok,CountVectorizer,BernoulliNB,0.834541276294856
0.8,11,tok,TfidfVectorizer,MultinomialNB,0.9285840551529079
0.8,11,tok,TfidfVectorizer,BernoulliNB,0.834541276294856
0.8,11,tok lem stem,CountVectorizer,MultinomialNB,0.9001237404984974
0.8,11,tok lem stem,CountVectorizer,BernoulliNB,0.8338341877320135
0.8,11,tok lem stem,TfidfVectorizer,MultinomialNB,0.922927346650168
0.8,11,tok lem stem,TfidfVectorizer,BernoulliNB,0.8338341877320135
0.8,11,tok stop,CountVectorizer,MultinomialNB,0.9094926639561605
0.8,11,tok stop,CountVectorizer,BernoulliNB,0.8548700724765776
