Smoothing,Pixel grouping,Accuracy
1.0,[1 1],0.6436
0.1,[1 1],0.672
0.001,[1 1],0.6529
1e-05,[1 1],0.6269
1e-07,[1 1],0.6142
1.0,[2 2],0.622
0.1,[2 2],0.6381
0.001,[2 2],0.6201
1e-05,[2 2],0.5979
1e-07,[2 2],0.5869
1.0,[2 1],0.6287
0.1,[2 1],0.6495
0.001,[2 1],0.6293
1e-05,[2 1],0.6114
1e-07,[2 1],0.601
1.0,[4 4],0.6
0.1,[4 4],0.5955
0.001,[4 4],0.5806
1e-05,[4 4],0.5652
1e-07,[4 4],0.559
