Grey levels,Alpha,Pixel grouping,Accuracy
10,0.001,[1 1],0.67
10,1e-05,[1 1],0.67
10,1e-07,[1 1],0.6701
10,0.001,[2 2],0.6581
10,1e-05,[2 2],0.6581
10,1e-07,[2 2],0.6581
256,0.001,[1 1],0.6671
256,1e-05,[1 1],0.6671
256,1e-07,[1 1],0.6671
256,0.001,[2 2],0.6543
256,1e-05,[2 2],0.6543
256,1e-07,[2 2],0.6543
