Grey levels,Alpha,Pixel grouping,Accuracy
10,0.001,[1 1],0.6681
10,1e-05,[1 1],0.6681
10,1e-07,[1 1],0.6681
10,0.001,[2 2],0.6544
10,1e-05,[2 2],0.6544
10,1e-07,[2 2],0.6544
256,0.001,[1 1],0.7021
256,1e-05,[1 1],0.7021
256,1e-07,[1 1],0.7021
256,0.001,[2 2],0.6949
256,1e-05,[2 2],0.6949
256,1e-07,[2 2],0.6949
